postcode,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,battery_kwh,battery_n,solar_kw,solar_n,chg_sites,chg_fast,chg_points
3608,2825,1604,2803,2959,3043,3103,3261,0,3,5,8,11,1222.93,47,5823.25,830,1,1,2
3610,1605,728,1483,1505,1518,1536,1567,0,0,0,3,3,788.562,29,3043.319,440,0,0,0
3612,1793,1010,1967,2043,2028,2060,2120,0,0,3,3,4,568.334,28,2826.125,515,0,0,0
3614,942,366,865,849,868,864,905,0,0,3,3,0,454.25,16,1980,272,0,0,0
3616,5589,2518,5285,5328,5376,5429,5415,0,3,4,8,18,2512.222,103,9835.97500000001,1340,1,1,1
3618,676,317,658,652,660,661,716,0,0,0,3,0,468.85,15,1738,202,0,0,0
3620,8338,3810,7612,7677,7688,7754,7866,0,0,3,8,14,2719.246,110,13989.182,1979,0,0,0
3621,2461,1003,2122,2138,2220,2226,2281,0,0,0,0,0,803.932,31,4451.26,569,0,0,0
3622,539,202,503,522,505,518,500,0,3,3,3,0,56.8,3,978.7,102,0,0,0
3623,868,447,927,947,940,948,951,0,3,0,0,3,452.4,16,1793.205,234,0,0,0
3624,553,270,505,514,541,553,549,0,0,0,0,0,388.18,11,1395.305,155,1,0,1
3629,9520,4418,7823,7919,7979,7981,8197,0,0,7,10,20,2491.578,96,12123.129,1867,1,1,1
3630,32093,14053,27671,27994,28389,28315,28855,9,25,44,92,100,8629.774,325,36841.391,5552,3,3,12
3631,14601,5195,11458,12026,12575,13412,14138,3,5,20,41,62,9806.514,326,27996.083,3558,0,0,0
3633,622,243,639,647,637,647,645,0,0,0,0,3,434.275,15,1039.175,154,0,0,0
3634,1881,760,1865,1864,1875,1918,1916,0,0,0,4,5,907.64,31,3424.732,454,0,0,0
3635,563,263,604,595,600,606,623,0,0,0,0,0,128.72,4,1207.845,160,0,0,0
