osm_id,lat,lon,name,operator,access,capacity,fast,lga_code,vic_postcode,state
node/13639648647,-33.8941528,150.8579802,bp pulse,bp pulse,"",2,TRUE,12850,,NSW
node/12195801696,-33.3841189,148.0099258,Exploren,Exploren,"",4,TRUE,12900,,NSW
node/9603490031,-33.9621828,151.063567,Jolt,Jolt,yes,1,FALSE,12930,,NSW
node/9953777925,-33.9492389,151.081218,Jolt,Jolt,yes,,FALSE,12930,,NSW
node/9996192046,-33.9701906,151.0801412,Jolt,Jolt,"",1,FALSE,12930,,NSW
node/10091269880,-33.9678598,151.1060452,Jolt,Jolt,yes,1,FALSE,12930,,NSW
node/10091269881,-33.948437,151.0710625,Jolt,Jolt,yes,1,FALSE,12930,,NSW
node/10196181562,-33.9815934,151.0815506,Jolt,Jolt,yes,1,FALSE,12930,,NSW
way/1513958639,-31.7210639,148.6567236,NRMA,NRMA,"",2,TRUE,12950,,NSW
node/6656200736,-29.7384627,151.7362504,NRMA,NRMA,"",,FALSE,13010,,NSW
node/10263943171,-34.7190997,149.9958809,BP Pulse,BP Pulse,"",,TRUE,13310,,NSW
node/10263943172,-34.7184231,150.0006494,BP Pulse,BP Pulse,"",,TRUE,13310,,NSW
node/7021322234,-34.7479333,149.7496197,Chargefox,Chargefox,"",3,TRUE,13310,,NSW
node/10792695777,-34.7722611,149.6927672,Chargefox,Chargefox,"",2,TRUE,13310,,NSW
node/4016257448,-34.7554799,149.7209942,Tesla Supercharger,Tesla,yes,8,TRUE,13310,,NSW
node/12564147445,-34.7728854,149.6927921,Tesla Supercharger,Tesla,yes,20,TRUE,13310,,NSW
node/6749392356,-35.7175328,147.317755,NRMA,NRMA,"",4,TRUE,13340,,NSW
node/11290026319,-35.7226725,147.317546,Tesla Supercharger,Tesla,yes,16,TRUE,13340,,NSW
