lga_code,state,lga_name,median_income,earners,income_group,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,solar_n,solar_kw,battery_n,battery_kwh,chg_sites,chg_fast,chg_points
50770,WA,Boyup Brook,48555,1224,1,1817,923,1951.2,2029.9,2092.2,2170.7,2228,0,0,0,0.2,3.4,348.8,2042.1,18.2,469.2,0,0,0
50840,WA,Bridgetown-Greenbushes,49873,3391,1,5253,2674,4676.7,4852.5,5097.6,5301.9,5607.2,0,0,3,9.8,17.6,1219,7114.8,69,1319.9,0,0,0
50910,WA,Brookton,53839,647,1,944,488,1015.4,1026.8,1033.5,1025.8,1102,0,0,0,0,0,219.4,1440,4.8,145.3,1,1,3
50980,WA,Broome,64683,11920,4,16928,9431,11747.4,11979.3,12058.3,12310.2,12607.1,3,3,6,7,14,1349.9,16328.6,73.9,1763,5,3,11
51080,WA,Broomehill-Tambellup,50355,689,1,1051,569,1177,1221,1238,1245,1317,0,0,0,0,3,176,1191.4,3,38.6,0,0,0
51120,WA,Bruce Rock,63412,625,3,995,415,994,994,1025,1089,1100,0,0,0,3,3,260,1486.3,3,106.3,1,0,1
51190,WA,Bunbury,55639,21712,1,32948,15941,26737.5,27497.2,27918.9,28851.3,29838.2,6.6,14.6,32.7,77.4,140.3,7363.1,41145.2,498.6,9339.8,0,0,0
51260,WA,Busselton,51507,29802,1,40486,21336,34140.2,35531.5,36410.6,37855.9,39402.6,10,28,65,126,198,11256.2,68749.9,909.5,17871.8,1,1,6
51310,WA,Cambridge,79343,21825,5,28931,11495,21270.8,21593.3,22472,22947.2,23277.6,55.3,134.6,236.6,447.4,680.7,4418.2,29677.4,585,12888,1,0,1
51330,WA,Canning,55371,71719,1,95832,37225,78868.8,81532.5,84300.9,87947.6,90495,71.9,152.1,312.2,753.4,1230,21907,128364.7,2675.7,64794.4,8,0,14
51400,WA,Capel,62486,12907,2,18213,7118,15446.7,15994.4,16339.6,16933.7,17423.3,2.4,8.4,18.8,47.9,74.8,3900.5,21657.4,252,4848.8,0,0,0
51470,WA,Carnamah,46400,405,1,540,376,697.6,693.6,686.6,705,712.2,0,0,0,0,0,142.8,1001.1,2,28.8,0,0,0
51540,WA,Carnarvon,50596,3522,1,5243,3771,4078.6,4156.5,4135.5,4166.4,4219.4,0,0,0,3,0,502.5,6121.5,11.8,414.2,1,1,2
51610,WA,Chapman Valley,66835,1108,5,1559,682,1339.1,1392.9,1442.5,1487.7,1705.9,0,0,0.1,1.7,3.4,360.1,2402,21.6,402.7,0,0,0
51680,WA,Chittering,62516,4311,2,5958,2404,5811.2,6044.5,6265.9,6555.3,6934.2,0,5.3,8.6,23.7,44,2090.4,14078.6,238.4,5542.8,0,0,0
51750,WA,Claremont,70495,8532,5,11300,5245,7835.5,7996.1,8126.1,8311.3,8603.7,18.6,53.3,99.5,188.1,273.8,1940.9,11854.8,224,4780.3,0,0,0
51820,WA,Cockburn,66806,86399,5,118159,48569,92371.4,95279,97423.3,99387.8,103979.2,52.4,137.6,288.5,783.6,1426.9,29483.5,170187.5,3236,70367.9,3,0,5
51890,WA,Collie,55241,5287,1,8816,4100,8063.4,8295,8430.6,8659.3,8854.4,0,0,2.9,6.7,14.4,2118.5,10834.2,88.8,1658.8,1,0,1
51960,WA,Coolgardie,74571,1974,5,3460,1815,2719.8,2794,2824,2880.7,3008.3,3,0,0,0,3,400.1,2811.4,8.1,138.3,1,1,3
52030,WA,Coorow,54010,726,1,1051,948,1255.5,1279.5,1312.8,1344.8,1379,0,0,0,0,3,350.5,2222.3,26,463.9,0,0,0
52100,WA,Corrigin,65017,793,4,1004,503,1225.6,1243.2,1293.5,1287.2,1246,0,0,0,3,0,276.6,1633.1,5.2,184.5,0,0,0
52170,WA,Cottesloe,83861,6473,5,7964,3600,6603.4,6675.3,6744.2,6829.8,6917.6,31,61.5,98.9,164.4,225.8,1208.4,8366.7,160,3644.2,0,0,0
52240,WA,Cranbrook,44969,763,1,1101,617,1274,1323,1333,1391,1378,0,0,0,3,0,158,1131.1,4,65.5,0,0,0
52310,WA,Cuballing,49561,572,1,902,496,1035,1037,1063,1081,1137,0,0,0,0,3,226,1262,14,387.7,0,0,0
52380,WA,Cue,38717,131,1,213,200,246,274,195,196,194,0,0,0,0,0,47.1,523.8,0,0,1,1,2
52450,WA,Cunderdin,63435,838,3,1304,679,1283,1299,1366,1388,1447,0,0,0,3,3,264,1939.7,6,164.4,0,0,0
52520,WA,Dalwallinu,67851,1156,5,1367,622,1561.2,1608.7,1616.1,1634.7,1932.4,0,0,0,3,0,266.9,2167.2,8.2,217.3,1,1,2
52590,WA,Dandaragan,49869,2734,1,3375,2758,3643.6,3774.4,3939.6,4027,4267.2,0,3,0,6,4.1,1294.2,9921.7,103.3,2128,1,1,2
52660,WA,Dardanup,60412,9979,2,14643,6034,12060.2,12493,12872.6,13302.2,13697.9,3,0,8.5,26.8,61.1,4053.1,21310.3,215,4179.2,1,1,6
52730,WA,Denmark,39636,4310,1,6305,3641,5693,5864,5990,6018,6283,3,8,21,43,57,1262,7439.4,97,2047,2,0,3
52800,WA,Derby-West Kimberley,48262,3534,1,7111,3601,3173.9,3122.6,3032.3,3055,3199.7,0,0,0,0,3,344.5,5393.4,5.1,164.1,2,2,6
52870,WA,Donnybrook-Balingup,48480,4393,1,6168,2789,6041.2,6281.5,6457.4,6687.3,6828,0,6,6.1,14.2,31.4,1917.8,11539.2,115.1,2632.5,1,0,3
52940,WA,Dowerin,59403,455,2,698,415,758,764,808,823,824,0,3,0,6,3,141,879.4,8,193.1,0,0,0
53010,WA,Dumbleyung,57745,463,2,692,343,879.5,879.3,897.7,926.2,918.4,0,0,3,0,3,133.3,959.6,2.5,58.4,0,0,0
53080,WA,Dundas,44894,440,1,681,629,562.2,536,580,589.3,597.7,0,0,0,0,0,89.9,890,3.9,169.5,5,5,10
53150,WA,East Fremantle,72792,5819,5,7801,3340,5646,5739,5841,6002,6102,13,22,40,92,152,1335,7788.5,161,3033.7,1,0,1
53220,WA,East Pilbara,78478,3571,5,9765,3621,3521.4,3519.2,3365.7,3388,3543,0,0,0,0,0.1,221.8,3386.9,15.7,387.6,1,1,3
53290,WA,Esperance,57291,9975,2,13873,6878,13048.5,13348.6,13699.4,13969.1,14119.4,0,3,3,12.9,17.8,1338.3,9212,79,2215.7,1,1,4
53360,WA,Exmouth,47420,2854,1,3087,2639,2353.4,2516.5,2605.5,2760.6,2809.6,0,0,0,0,0,400.5,4645.3,15.2,326.1,2,0,3
53430,WA,Fremantle,62750,24629,3,31961,15716,24249.1,25064.4,25446.6,26585.5,27781.3,35.3,87.9,170.4,322.6,535.8,5433.8,30526.4,590.5,10954.4,3,0,7
53570,WA,Gingin,46604,4137,1,5606,4103,5766.4,5997.6,6219.4,6455,6822.8,0,3,12,19,26.9,2066.8,14744.1,150.7,4123.6,1,0,1
53640,WA,Gnowangerup,54366,932,1,1210,652,1358.6,1416.4,1478.4,1546.2,1552,0,0,3,4.4,4.4,224.9,1580.1,3.6,123.3,0,0,0
53710,WA,Goomalling,57596,639,2,971,529,1039.1,1053.2,1084.5,1097,1162.9,0.1,0.1,0.2,3.5,3.8,225.9,1372,9.3,225.1,0,0,0
53780,WA,Gosnells,57000,84619,2,126421,47067,92714.6,95153.2,97560.8,102154.8,105751.3,34,96.6,239.4,578,998.1,30134,159116,3013.6,71734.7,4,0,4
53800,WA,Greater Geraldton,59512,26385,2,39486,17966,32808.9,33449.4,34268.9,35054,36450.4,3,4,10.9,27.9,54.2,8007.7,45711.5,429.2,7935,1,1,4
53920,WA,Halls Creek,23885,1403,1,3573,1658,1112.8,1069.7,1031.7,983.5,1038.9,0,0,0.4,0.5,0.8,74.5,1428.5,3.2,105.6,3,3,9
53990,WA,Harvey,61235,20040,2,28608,11879,23927,24377,25196,26222,27346,6,3,22,76,112,7556,42590,527,10269.1,1,1,2
54060,WA,Irwin,53312,2401,1,3675,2163,3365,3461,3568,3635,3790,0,0,0,0,4,1044,5780.4,69,1409.2,0,0,0
54130,WA,Jerramungup,48397,950,1,1162,923,1487.7,1550.8,1580.2,1656.5,1519.6,0,0,0,6.6,3.6,195.1,1491.9,10.4,301.8,2,1,3
54170,WA,Joondalup,65303,115545,4,159984,62053,121574.9,123332.5,124384.5,126836,129979.8,68.4,193.4,432.3,1009.7,1708.7,39905.9,206374,3659.4,75089.9,3,0,8
54200,WA,Kalamunda,63948,41017,3,58716,23370,48397.7,49052.5,50307.2,51779.5,53094,38.2,63.7,130,289.3,500.7,14560.8,78724.1,1327.3,28415.7,0,0,0
54280,WA,Kalgoorlie/Boulder,80000,20965,5,29341,13148,24547.9,24486.8,24603,24820.3,25439.2,0,5,9,21,36,3588.2,23419,129.1,2745,1,1,3
54310,WA,Karratha,92657,15140,5,22198,10036,15649,15664,16076,16786,17474,3,3,13,26,40,1327,14991.4,33,734.3,4,4,10
54340,WA,Katanning,53877,2660,1,4065,1834,3518.2,3516.2,3550,3567.9,3672.3,0,3,3,0,3,581.1,3321.3,10.9,187.2,1,0,1
54410,WA,Kellerberrin,54860,744,1,1130,616,1172,1171,1189,1219,1232,0,0,0,0,0,228,1303,2,47.2,0,0,0
